,skeleton-id,node-id-src,node-id-dst,branch-distance,branch-type,mean-pixel-value,stdev-pixel-value,image-coord-src-0,image-coord-src-1,image-coord-dst-0,image-coord-dst-1,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,euclidean-distance,main,index
275,4,6753,17888,0.8035329441991446,1,3.453279886688099,0.14022868409152756,866.0,514.0,867.0,513.0,492.04699218750005,292.04636718750004,492.61517578125006,291.47818359375003,0.8035329441991446,False,276
276,4,6771,7258,26.277731574711847,2,2.519959860599928,0.40693786594523507,869.6666666666666,652.6666666666666,906.75,639.0,494.13033203125,370.8344921875,515.2004736328125,363.06931640625004,22.455485343755242,False,277
277,4,6771,18597,32.85620698221142,1,2.107915564188192,0.4202324043886392,869.6666666666666,652.6666666666666,895.0,692.0,494.13033203125,370.8344921875,508.52431640625,393.18304687500006,26.5827892217488,False,278
278,4,6772,7129,40.960960207055095,2,2.9243313613021082,0.5771681892700578,870.6666666666666,99.66666666666667,897.0,38.25,494.698515625,56.628964843750005,509.66068359375004,21.7330224609375,37.968319229453115,False,279
279,4,6772,7864,65.49474693977096,2,3.038078407496619,0.5849548304480983,870.6666666666666,99.66666666666667,980.0,106.0,494.698515625,56.628964843750005,556.8199218750001,60.227460937500005,62.22554369882421,False,280
280,4,6773,6784,28.392172569132455,2,2.733286759829198,0.6914770346008485,871.6666666666666,556.6666666666666,882.6666666666666,599.6666666666666,495.26669921875003,316.2888671875,501.51671875,340.72076171875,25.21864815027027,False,281
281,4,6784,7376,26.038003857211514,2,2.273927292707129,0.6227800970483648,882.6666666666666,599.6666666666666,912.0,631.0,501.51671875,340.72076171875,518.1834375000001,358.52384765625004,24.387074092428886,False,282
282,4,6828,6852,45.040815067093725,2,2.689673340506993,0.5404060015026833,884.75,296.0,895.6666666666666,221.33333333333334,502.70043457031255,168.18234375,508.90310546875,125.75796875000002,42.875409274022644,False,283
283,4,6828,7238,12.110936243173203,2,3.134739757673042,0.44788022807457895,884.75,296.0,901.3333333333334,305.3333333333333,502.70043457031255,168.18234375,512.1228125,173.485390625,10.812192747463792,False,284
284,4,6850,18541,34.26507820650297,1,3.1539453770168278,0.5383680663195318,885.0,749.75,894.0,694.0,502.84248046875007,425.99564941406254,507.9561328125,394.3194140625,32.08634174131291,False,285
285,4,6850,7419,30.48790542901954,2,3.310728269442822,0.36566889472889624,885.0,749.75,932.0,757.75,502.84248046875007,425.99564941406254,529.547109375,430.54111816406254,27.088715199834514,False,286
286,4,6851,17902,71.23356839502033,1,2.1685004740529252,0.4907231088561328,895.0,968.75,867.0,1014.0,508.52431640625,550.4278564453125,492.61517578125006,576.1381640625001,30.234428607077042,False,287
287,4,6851,7350,18.657113612600085,2,1.9692159373455937,0.7990886342785486,895.0,968.75,910.0,944.75,508.52431640625,550.4278564453125,517.0470703125001,536.7914501953126,16.080699908944812,True,288
288,4,6851,7895,59.14294126447236,2,2.6707594535533747,0.7115983097651818,895.0,968.75,981.75,1005.0,508.52431640625,550.4278564453125,557.8142431640625,571.0245117187501,53.42021235677883,True,289
289,4,6852,7400,25.567305156313154,2,2.4403949842800023,0.6329870836966142,895.6666666666666,221.33333333333334,924.0,191.0,508.90310546875,125.75796875000002,525.001640625,108.52306640625001,23.583992303586292,False,290
290,4,7129,17978,20.11377072088071,1,2.485086267198358,0.6135227923482762,897.0,38.25,872.0,19.0,509.66068359375004,21.7330224609375,495.45609375000004,10.795488281250002,17.92763304401889,False,291
291,4,7129,19589,25.462894520329655,1,2.8289646909555697,0.7190629655246632,897.0,38.25,935.0,23.0,509.66068359375004,21.7330224609375,531.2516601562501,13.06822265625,23.264759284758103,False,292
292,4,7238,18534,19.102137034928894,1,2.742310685108871,0.43941163481240414,901.3333333333334,305.3333333333333,894.0,336.0,512.1228125,173.485390625,507.9561328125,190.90968750000002,17.915561425932488,False,293
293,4,7238,7418,18.396922201517047,2,3.3127438115180343,1.1013189417208302,901.3333333333334,305.3333333333333,931.5714285714286,300.2857142857143,512.1228125,173.485390625,529.3036021205357,170.61741629464288,17.418519131794636,False,294
294,4,7239,17976,20.29583771320212,1,2.7573401723091924,0.6062712490517731,901.75,858.0,871.0,846.0,512.3595556640626,487.50152343750005,494.88791015625003,480.68332031250003,18.7549004424024,False,295
295,4,7239,7377,34.813510379593716,2,2.9205803568929367,0.7385196717965189,901.75,858.0,913.3333333333334,914.6666666666666,512.3595556640626,487.50152343750005,518.9410156250001,519.69859375,32.86285063602195,True,296
296,4,7239,7395,31.493594421778994,2,3.186999243996334,0.41747466555475804,901.75,858.0,922.0,810.8,512.3595556640626,487.50152343750005,523.8652734375,460.6832578125,29.1822019836587,True,297
297,4,7240,17995,43.7242884374838,1,3.027367980409628,0.5363942405060429,905.3333333333334,432.3333333333333,872.0,495.0,514.395546875,245.64470703125002,495.45609375000004,281.25087890625,40.32991892213662,False,298
298,4,7240,7550,57.46702303812725,2,3.635494055607904,0.3287400475901742,905.3333333333334,432.3333333333333,942.25,352.0,514.395546875,245.64470703125002,535.3709912109375,200.000625,50.23297213549574,False,299
299,4,7258,7376,5.690557290042017,2,1.5096177279492715,0.8270269916701567,906.75,639.0,912.0,631.0,515.2004736328125,363.06931640625004,518.1834375000001,358.52384765625004,5.4368519926675445,False,300
300,4,7258,20030,38.80672398652465,1,2.255566756975068,0.43751168254018447,906.75,639.0,954.0,643.0,515.2004736328125,363.06931640625004,542.0471484375,365.34205078125,26.94270345767011,False,301
301,4,7350,7377,18.263592986821436,2,2.7893997734096496,0.4184903468215546,910.0,944.75,913.3333333333334,914.6666666666666,517.0470703125001,536.7914501953126,518.9410156250001,519.69859375,17.197464066158258,True,302
302,4,7350,21189,72.06087724585458,1,2.3961490187938903,0.6106731324368817,910.0,944.75,1019.0,926.0,517.0470703125001,536.7914501953126,578.9790820312501,526.1380078125001,62.84162561658708,False,303
303,4,7376,19982,25.316186604940473,1,2.3423330920715606,0.3460336800325419,912.0,631.0,952.0,642.0,518.1834375000001,358.52384765625004,540.91078125,364.77386718750006,23.57106060557453,False,304
304,4,7377,19967,36.82532618299242,1,1.9233172749791339,0.7485155291913542,913.3333333333334,914.6666666666666,951.0,887.0,518.9410156250001,519.69859375,540.3425976562501,503.97884765625,26.55443711872441,False,305
